Year,HPAI,Rabies,Trypanosomosis
2006,467.273,,
2007,80.46,1.0,
2008,386.75,3.826,177.667
2009,,2.5,22.8
2010,,1.0,11.833
2011,,1.545,7.0
2012,,87.737,10.0
2013,,1.29,6.455
2014,3300.0,1.0,11.333
2015,549.932,2.5,4.667
2016,641.795,1.0,
2017,447.818,1.02,1.0
2018,1105.0,1.088,5.364
2019,145.0,1.239,3.143
2020,,1.065,6.357
2021,4775.393,1.048,16.65
2022,6822.957,1.056,
2023,4460.421,1.08,
2024,831.2,1.033,
2025,3250.889,1.0,
