Item,Value
Raw 2026 rows,6
Semesters present,Jan-Jun 2026
Diseases present,HPAI
Administrative divisions,"Batagarawa, Bauchi, Gwale, Jos North, Toro, Ungogo"
Reported outbreaks,9
Reported cases,27127
Deaths,9008
Killed and disposed of,18189
Slaughtered,0
Exclusion rationale,"Only January-June 2026 observations are available; no July-December 2026 observations are present, so 2026 is not a complete calendar year in this extract"
