Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated,dis,Cases__str,Deaths__str,Killed and disposed of__str,New outbreaks__str,Slaughtered__str,Susceptible__str,Vaccinated__str,Outbreaks,Killed_disposed,rowtype,Semester_half,AdminDiv_raw,State_Clean,Geo_cleaning_action,AdminDiv
2006,Jan-Jun 2006,Africa,Nigeria,Lagos,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,5,,-,,-,,,,HPAI,-,-,-,5,-,-,-,5.0,,outbreak_row_BOTH,Jan-Jun,Lagos,Lagos,Unchanged (already a state-level value),Lagos
2006,Jan-Jun 2006,Africa,Nigeria,Lagos,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,54600.0,Animal,,-,0.0,2981.0,0.0,HPAI,-,2981,-,-,0,54600,0,,,animal_record,Jan-Jun,Lagos,Lagos,Unchanged (already a state-level value),Lagos
2006,Jan-Jun 2006,Africa,Nigeria,Nasarawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jan-Jun,Nasarawa,Nasarawa,Unchanged (already a state-level value),Nasarawa
2006,Jan-Jun 2006,Africa,Nigeria,Nasarawa,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,25414.0,Animal,,21957,0.0,3457.0,0.0,HPAI,-,3457,21957,-,0,25414,0,,21957.0,animal_record,Jan-Jun,Nasarawa,Nasarawa,Unchanged (already a state-level value),Nasarawa
2006,Jan-Jun 2006,Africa,Nigeria,Ogun,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jan-Jun,Ogun,Ogun,Unchanged (already a state-level value),Ogun
2006,Jan-Jun 2006,Africa,Nigeria,Ogun,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,270000.0,Animal,,-,0.0,188000.0,0.0,HPAI,-,188000,-,-,0,270000,0,,,animal_record,Jan-Jun,Ogun,Ogun,Unchanged (already a state-level value),Ogun
2006,Jan-Jun 2006,Africa,Nigeria,Osun,Rabies virus (Inf. with),,Both animal categories,-,,-,1,,-,,-,,,,Rabies,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Osun,Osun,Unchanged (already a state-level value),Osun
2006,Jan-Jun 2006,Africa,Nigeria,Osun,Rabies virus (Inf. with),,Domestic,-,Dogs,-,-,,Animal,,-,,,,Rabies,-,-,-,-,-,-,-,,,animal_record,Jan-Jun,Osun,Osun,Unchanged (already a state-level value),Osun
2006,Jan-Jun 2006,Africa,Nigeria,Oyo,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jan-Jun,Oyo,Oyo,Unchanged (already a state-level value),Oyo
2006,Jan-Jun 2006,Africa,Nigeria,Oyo,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,300.0,Animal,,280,0.0,20.0,0.0,HPAI,-,20,280,-,0,300,0,,280.0,animal_record,Jan-Jun,Oyo,Oyo,Unchanged (already a state-level value),Oyo
2006,Jan-Jun 2006,Africa,Nigeria,Plateau,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,32,,-,,-,,,,HPAI,-,-,-,32,-,-,-,32.0,,outbreak_row_BOTH,Jan-Jun,Plateau,Plateau,Unchanged (already a state-level value),Plateau
2006,Jan-Jun 2006,Africa,Nigeria,Plateau,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,44516.0,Animal,12475.0,31903,0.0,11212.0,0.0,HPAI,12475,11212,31903,-,0,44516,0,,31903.0,animal_record,Jan-Jun,Plateau,Plateau,Unchanged (already a state-level value),Plateau
2006,Jan-Jun 2006,Africa,Nigeria,Plateau,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Wild,-,Wildlife (species unspecified),-,-,1.0,Animal,1.0,0,0.0,1.0,0.0,HPAI,1,1,0,-,0,1,0,,0.0,animal_record,Jan-Jun,Plateau,Plateau,Unchanged (already a state-level value),Plateau
2006,Jan-Jun 2006,Africa,Nigeria,Rivers,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Rivers,Rivers,Unchanged (already a state-level value),Rivers
2006,Jan-Jun 2006,Africa,Nigeria,Rivers,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,1200.0,Animal,,-,,700.0,0.0,HPAI,-,700,-,-,-,1200,0,,,animal_record,Jan-Jun,Rivers,Rivers,Unchanged (already a state-level value),Rivers
2006,Jan-Jun 2006,Africa,Nigeria,Taraba,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jan-Jun,Taraba,Taraba,Unchanged (already a state-level value),Taraba
2006,Jan-Jun 2006,Africa,Nigeria,Taraba,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,81.0,Animal,,45,0.0,36.0,0.0,HPAI,-,36,45,-,0,81,0,,45.0,animal_record,Jan-Jun,Taraba,Taraba,Unchanged (already a state-level value),Taraba
2006,Jan-Jun 2006,Africa,Nigeria,Yobe,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jan-Jun,Yobe,Yobe,Unchanged (already a state-level value),Yobe
2006,Jan-Jun 2006,Africa,Nigeria,Yobe,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,,Animal,6.0,-,,,0.0,HPAI,6,-,-,-,-,-,0,,,animal_record,Jan-Jun,Yobe,Yobe,Unchanged (already a state-level value),Yobe
2006,Jul-Dec 2006,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jul-Dec,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2006,Jul-Dec 2006,Africa,Nigeria,Anambra,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,2680.0,Animal,403.0,2277,0.0,403.0,0.0,HPAI,403,403,2277,-,0,2680,0,,2277.0,animal_record,Jul-Dec,Anambra,Anambra,Unchanged (already a state-level value),Anambra
2006,Jul-Dec 2006,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2006,Jul-Dec 2006,Africa,Nigeria,Bauchi,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,2500.0,Animal,2000.0,1554,0.0,946.0,0.0,HPAI,2000,946,1554,-,0,2500,0,,1554.0,animal_record,Jul-Dec,Bauchi,Bauchi,Unchanged (already a state-level value),Bauchi
2006,Jul-Dec 2006,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,2,,-,,-,,,,HPAI,-,-,-,2,-,-,-,2.0,,outbreak_row_BOTH,Jul-Dec,Borno,Borno,Unchanged (already a state-level value),Borno
2006,Jul-Dec 2006,Africa,Nigeria,Borno,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,500.0,Animal,300.0,249,0.0,251.0,0.0,HPAI,300,251,249,-,0,500,0,,249.0,animal_record,Jul-Dec,Borno,Borno,Unchanged (already a state-level value),Borno
2006,Jul-Dec 2006,Africa,Nigeria,Delta,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,1,,-,,-,,,,HPAI,-,-,-,1,-,-,-,1.0,,outbreak_row_BOTH,Jul-Dec,Delta,Delta,Unchanged (already a state-level value),Delta
2006,Jul-Dec 2006,Africa,Nigeria,Delta,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,,Animal,,-,,,,HPAI,-,-,-,-,-,-,-,,,animal_record,Jul-Dec,Delta,Delta,Unchanged (already a state-level value),Delta
2006,Jul-Dec 2006,Africa,Nigeria,Kaduna,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Both animal categories,-,,-,4,,-,,-,,,,HPAI,-,-,-,4,-,-,-,4.0,,outbreak_row_BOTH,Jul-Dec,Kaduna,Kaduna,Unchanged (already a state-level value),Kaduna
2006,Jul-Dec 2006,Africa,Nigeria,Kaduna,High pathogenicity avian influenza viruses (Inf. with) (poultry),H5N1,Domestic,-,Birds,-,-,,Animal,,-,,,,HPAI,-,-,-,-,-,-,-,,,animal_record,Jul-Dec,Kaduna,Kaduna,Unchanged (already a state-level value),Kaduna
