row_index_raw,year,semester,world_region,country,location_raw,location_std,location_recoded,geo_level,disease_wahis_label,disease,serotype,animal_category,species,measuring_units,event_id,outbreak_id,block_id,row_type,in_study_period,new_outbreaks,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated
18,2006,Jan-Jun 2006,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Kano|HPAI|H5N1,outbreak_row,True,8.0,,,,,,
19,2006,Jan-Jun 2006,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Kano|HPAI|H5N1,animal_row,True,,78741.0,3916.0,46554.0,0.0,3911.0,0.0
20,2006,Jan-Jun 2006,Africa,Nigeria,Katsina,Katsina,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Katsina|HPAI|H5N1,outbreak_row,True,9.0,,,,,,
21,2006,Jan-Jun 2006,Africa,Nigeria,Katsina,Katsina,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Katsina|HPAI|H5N1,animal_row,True,,15074.0,,,0.0,,0.0
22,2006,Jan-Jun 2006,Africa,Nigeria,Lagos,Lagos,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Lagos|HPAI|H5N1,outbreak_row,True,5.0,,,,,,
23,2006,Jan-Jun 2006,Africa,Nigeria,Lagos,Lagos,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Lagos|HPAI|H5N1,animal_row,True,,54600.0,,,0.0,2981.0,0.0
24,2006,Jan-Jun 2006,Africa,Nigeria,Nasarawa,Nasarawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Nasarawa|HPAI|H5N1,outbreak_row,True,4.0,,,,,,
25,2006,Jan-Jun 2006,Africa,Nigeria,Nasarawa,Nasarawa,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Nasarawa|HPAI|H5N1,animal_row,True,,25414.0,,21957.0,0.0,3457.0,0.0
26,2006,Jan-Jun 2006,Africa,Nigeria,Ogun,Ogun,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Ogun|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
27,2006,Jan-Jun 2006,Africa,Nigeria,Ogun,Ogun,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Ogun|HPAI|H5N1,animal_row,True,,270000.0,,,0.0,188000.0,0.0
28,2006,Jan-Jun 2006,Africa,Nigeria,Osun,Osun,False,state,Rabies virus (Inf. with),Rabies,,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Osun|Rabies|,outbreak_row,True,1.0,,,,,,
29,2006,Jan-Jun 2006,Africa,Nigeria,Osun,Osun,False,state,Rabies virus (Inf. with),Rabies,,Domestic,Dogs,Animal,-,-,2006|Jan-Jun 2006|Osun|Rabies|,animal_row,True,,,,,,,
30,2006,Jan-Jun 2006,Africa,Nigeria,Oyo,Oyo,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Oyo|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
31,2006,Jan-Jun 2006,Africa,Nigeria,Oyo,Oyo,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Oyo|HPAI|H5N1,animal_row,True,,300.0,,280.0,0.0,20.0,0.0
32,2006,Jan-Jun 2006,Africa,Nigeria,Plateau,Plateau,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Plateau|HPAI|H5N1,outbreak_row,True,32.0,,,,,,
33,2006,Jan-Jun 2006,Africa,Nigeria,Plateau,Plateau,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Plateau|HPAI|H5N1,animal_row,True,,44516.0,12475.0,31903.0,0.0,11212.0,0.0
34,2006,Jan-Jun 2006,Africa,Nigeria,Plateau,Plateau,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Wild,Wildlife (species unspecified),Animal,-,-,2006|Jan-Jun 2006|Plateau|HPAI|H5N1,animal_row,True,,1.0,1.0,0.0,0.0,1.0,0.0
35,2006,Jan-Jun 2006,Africa,Nigeria,Rivers,Rivers,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Rivers|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
36,2006,Jan-Jun 2006,Africa,Nigeria,Rivers,Rivers,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Rivers|HPAI|H5N1,animal_row,True,,1200.0,,,,700.0,0.0
37,2006,Jan-Jun 2006,Africa,Nigeria,Taraba,Taraba,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Taraba|HPAI|H5N1,outbreak_row,True,4.0,,,,,,
38,2006,Jan-Jun 2006,Africa,Nigeria,Taraba,Taraba,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Taraba|HPAI|H5N1,animal_row,True,,81.0,,45.0,0.0,36.0,0.0
39,2006,Jan-Jun 2006,Africa,Nigeria,Yobe,Yobe,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jan-Jun 2006|Yobe|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
40,2006,Jan-Jun 2006,Africa,Nigeria,Yobe,Yobe,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jan-Jun 2006|Yobe|HPAI|H5N1,animal_row,True,,,6.0,,,,0.0
41,2006,Jul-Dec 2006,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Anambra|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
42,2006,Jul-Dec 2006,Africa,Nigeria,Anambra,Anambra,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Anambra|HPAI|H5N1,animal_row,True,,2680.0,403.0,2277.0,0.0,403.0,0.0
43,2006,Jul-Dec 2006,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Bauchi|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
44,2006,Jul-Dec 2006,Africa,Nigeria,Bauchi,Bauchi,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Bauchi|HPAI|H5N1,animal_row,True,,2500.0,2000.0,1554.0,0.0,946.0,0.0
45,2006,Jul-Dec 2006,Africa,Nigeria,Borno,Borno,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Borno|HPAI|H5N1,outbreak_row,True,2.0,,,,,,
46,2006,Jul-Dec 2006,Africa,Nigeria,Borno,Borno,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Borno|HPAI|H5N1,animal_row,True,,500.0,300.0,249.0,0.0,251.0,0.0
47,2006,Jul-Dec 2006,Africa,Nigeria,Delta,Delta,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Delta|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
48,2006,Jul-Dec 2006,Africa,Nigeria,Delta,Delta,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Delta|HPAI|H5N1,animal_row,True,,,,,,,
49,2006,Jul-Dec 2006,Africa,Nigeria,Kaduna,Kaduna,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Kaduna|HPAI|H5N1,outbreak_row,True,4.0,,,,,,
50,2006,Jul-Dec 2006,Africa,Nigeria,Kaduna,Kaduna,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Kaduna|HPAI|H5N1,animal_row,True,,,,,,,
51,2006,Jul-Dec 2006,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Kano|HPAI|H5N1,outbreak_row,True,6.0,,,,,,
52,2006,Jul-Dec 2006,Africa,Nigeria,Kano,Kano,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Domestic,Birds,Animal,-,-,2006|Jul-Dec 2006|Kano|HPAI|H5N1,animal_row,True,,8351.0,2500.0,7194.0,0.0,1157.0,0.0
53,2006,Jul-Dec 2006,Africa,Nigeria,Kwara,Kwara,False,state,High pathogenicity avian influenza viruses (Inf. with) (poultry),HPAI,H5N1,Both animal categories,,-,-,-,2006|Jul-Dec 2006|Kwara|HPAI|H5N1,outbreak_row,True,1.0,,,,,,
