block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,header_animal_category,new_outbreaks
2007|Jan-Jun 2007|Federal Capital Territory|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,1.0
2007|Jan-Jun 2007|Jigawa|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Jigawa,Jigawa,Both animal categories,3.0
2007|Jan-Jun 2007|Kaduna|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Kaduna,Kaduna,Both animal categories,17.0
2007|Jan-Jun 2007|Kano|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Kano,Kano,Both animal categories,32.0
2007|Jan-Jun 2007|Katsina|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Katsina,Katsina,Both animal categories,18.0
2007|Jan-Jun 2007|Lagos|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,4.0
2007|Jan-Jun 2007|Nasarawa|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,1.0
2007|Jan-Jun 2007|Oyo|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Oyo,Oyo,Both animal categories,1.0
2007|Jan-Jun 2007|Plateau|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Plateau,Plateau,Both animal categories,10.0
2007|Jan-Jun 2007|Sokoto|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Sokoto,Sokoto,Both animal categories,4.0
2007|Jan-Jun 2007|Yobe|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Yobe,Yobe,Both animal categories,2.0
2007|Jan-Jun 2007|Zamfara|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Zamfara,Zamfara,Both animal categories,1.0
2007|Jul-Dec 2007|Anambra|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Anambra,Anambra,Both animal categories,2.0
2007|Jul-Dec 2007|Delta|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Delta,Delta,Both animal categories,1.0
2007|Jul-Dec 2007|Edo|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Edo,Edo,Both animal categories,3.0
2007|Jul-Dec 2007|Ekiti|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Ekiti,Ekiti,Both animal categories,1.0
2007|Jul-Dec 2007|Gombe|Rabies|,2007,Jul-Dec 2007,Rabies,,state,Gombe,Gombe,Both animal categories,2.0
2007|Jul-Dec 2007|Lagos|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Lagos,Lagos,Both animal categories,2.0
2007|Jul-Dec 2007|Nasarawa|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Nasarawa,Nasarawa,Both animal categories,1.0
2007|Jul-Dec 2007|Ogun|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Ogun,Ogun,Both animal categories,21.0
2007|Jul-Dec 2007|Oyo|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Oyo,Oyo,Both animal categories,1.0
2007|Jul-Dec 2007|Zamfara|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Zamfara,Zamfara,Both animal categories,1.0
2008|Jan-Jun 2008|Adamawa|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Adamawa,Adamawa,Both animal categories,5.0
2008|Jan-Jun 2008|Bauchi|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Bauchi,Bauchi,Both animal categories,3.0
2008|Jan-Jun 2008|Federal Capital Territory|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Both animal categories,2.0
