block_id,year,semester,disease,serotype,geo_level,location_raw,location_std,animal_category,species,measuring_units,susceptible,cases,killed_disposed,slaughtered,deaths,vaccinated,all_counts_missing
2006|Jul-Dec 2006|Nasarawa|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Nasarawa,Nasarawa,Domestic,Birds,Animal,2000.0,276.0,1724.0,0.0,276.0,0.0,False
2006|Jul-Dec 2006|Ogun|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Ogun,Ogun,Domestic,Birds,Animal,3536.0,,,0.0,652.0,0.0,False
2006|Jul-Dec 2006|Plateau|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Plateau,Plateau,Domestic,Birds,Animal,86.0,86.0,37.0,0.0,49.0,0.0,False
2006|Jul-Dec 2006|Taraba|HPAI|H5N1,2006,Jul-Dec 2006,HPAI,H5N1,state,Taraba,Taraba,Domestic,Birds,Animal,119.0,100.0,19.0,0.0,100.0,0.0,False
2007|Jan-Jun 2007|Adamawa|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Adamawa,Adamawa,Domestic,Birds,Animal,394.0,,,0.0,157.0,0.0,False
2007|Jan-Jun 2007|Anambra|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Anambra,Anambra,Domestic,Birds,Animal,15852.0,,,0.0,,0.0,False
2007|Jan-Jun 2007|Bauchi|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Bauchi,Bauchi,Domestic,Birds,Animal,1356.0,,,0.0,286.0,0.0,False
2007|Jan-Jun 2007|Borno|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Borno,Borno,Domestic,Birds,Animal,300.0,200.0,140.0,0.0,160.0,0.0,False
2007|Jan-Jun 2007|Edo|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Edo,Edo,Domestic,Birds,Animal,6125.0,,,0.0,4000.0,0.0,False
2007|Jan-Jun 2007|Enugu|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Enugu,Enugu,Domestic,Birds,Animal,500.0,500.0,0.0,0.0,500.0,0.0,False
2007|Jan-Jun 2007|Federal Capital Territory|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Federal Capital Territory,Federal Capital Territory,Domestic,Birds,Animal,40.0,40.0,,0.0,35.0,0.0,False
2007|Jan-Jun 2007|Jigawa|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Jigawa,Jigawa,Domestic,Birds,Animal,14057.0,50.0,0.0,0.0,3061.0,0.0,False
2007|Jan-Jun 2007|Kaduna|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Kaduna,Kaduna,Domestic,Birds,Animal,31197.0,2500.0,5875.0,0.0,7449.0,0.0,False
2007|Jan-Jun 2007|Kano|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Kano,Kano,Domestic,Birds,Animal,85271.0,,,0.0,4290.0,0.0,False
2007|Jan-Jun 2007|Katsina|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Katsina,Katsina,Domestic,Birds,Animal,93438.0,,4572.0,0.0,6143.0,0.0,False
2007|Jan-Jun 2007|Lagos|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Lagos,Lagos,Domestic,Birds,Animal,4244.0,,,0.0,867.0,0.0,False
2007|Jan-Jun 2007|Nasarawa|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Nasarawa,Nasarawa,Domestic,Birds,Animal,,,,,,,True
2007|Jan-Jun 2007|Oyo|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Oyo,Oyo,Domestic,Birds,Animal,15000.0,8600.0,2400.0,0.0,8600.0,0.0,False
2007|Jan-Jun 2007|Plateau|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Plateau,Plateau,Domestic,Birds,Animal,12802.0,,,0.0,1532.0,0.0,False
2007|Jan-Jun 2007|Sokoto|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Sokoto,Sokoto,Domestic,Birds,Animal,,,,,,,True
2007|Jan-Jun 2007|Yobe|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Yobe,Yobe,Domestic,Birds,Animal,68.0,,,0.0,1.0,0.0,False
2007|Jan-Jun 2007|Zamfara|HPAI|H5N1,2007,Jan-Jun 2007,HPAI,H5N1,state,Zamfara,Zamfara,Domestic,Birds,Animal,,,,,,,True
2007|Jul-Dec 2007|Anambra|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Anambra,Anambra,Domestic,Birds,Animal,1500.0,179.0,821.0,0.0,179.0,0.0,False
2007|Jul-Dec 2007|Delta|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Delta,Delta,Domestic,Birds,Animal,,,,,45.0,,False
2007|Jul-Dec 2007|Edo|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Edo,Edo,Domestic,Birds,Animal,7452.0,,,0.0,1267.0,0.0,False
2007|Jul-Dec 2007|Ekiti|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Ekiti,Ekiti,Domestic,Birds,Animal,2400.0,,,,1312.0,,False
2007|Jul-Dec 2007|Gombe|Rabies|,2007,Jul-Dec 2007,Rabies,,state,Gombe,Gombe,Domestic,Dogs,Animal,,2.0,,,2.0,,False
2007|Jul-Dec 2007|Lagos|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Lagos,Lagos,Domestic,Birds,Animal,3000.0,,,,380.0,,False
2007|Jul-Dec 2007|Nasarawa|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Nasarawa,Nasarawa,Domestic,Birds,Animal,65.0,,,0.0,11.0,0.0,False
2007|Jul-Dec 2007|Ogun|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Ogun,Ogun,Domestic,Birds,Animal,69389.0,,,0.0,15252.0,0.0,False
2007|Jul-Dec 2007|Oyo|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Oyo,Oyo,Domestic,Birds,Animal,720.0,,2.0,0.0,718.0,0.0,False
2007|Jul-Dec 2007|Zamfara|HPAI|H5N1,2007,Jul-Dec 2007,HPAI,H5N1,state,Zamfara,Zamfara,Domestic,Birds,Animal,3680.0,,,,1262.0,,False
2008|Jan-Jun 2008|Adamawa|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Adamawa,Adamawa,Domestic,Cattle,Animal,1477.0,1436.0,3.0,18.0,7.0,0.0,False
2008|Jan-Jun 2008|Bauchi|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Bauchi,Bauchi,Domestic,Dogs,Animal,4.0,16.0,1.0,0.0,1.0,281.0,False
2008|Jan-Jun 2008|Federal Capital Territory|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Federal Capital Territory,Federal Capital Territory,Domestic,Cattle,Animal,600.0,113.0,0.0,3.0,0.0,0.0,False
2008|Jan-Jun 2008|Gombe|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Gombe,Gombe,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,,False
2008|Jan-Jun 2008|Kaduna|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Kaduna,Kaduna,Domestic,Dogs,Animal,,,6.0,,,,False
2008|Jan-Jun 2008|Kebbi|HPAI|H5N1,2008,Jan-Jun 2008,HPAI,H5N1,state,Kebbi,Kebbi,Domestic,Birds,Animal,1.0,1.0,0.0,0.0,0.0,0.0,False
2008|Jan-Jun 2008|Kwara|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Kwara,Kwara,Domestic,Dogs,Animal,9.0,9.0,,0.0,,,False
2008|Jan-Jun 2008|Nasarawa|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Nasarawa,Nasarawa,Domestic,Cattle,Animal,,35.0,0.0,,0.0,,False
2008|Jan-Jun 2008|Niger|Trypanosomosis|,2008,Jan-Jun 2008,Trypanosomosis,,state,Niger,Niger,Domestic,Cattle,Animal,,15.0,0.0,0.0,0.0,,False
2008|Jan-Jun 2008|Ondo|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Ondo,Ondo,Domestic,Dogs,Animal,21.0,2.0,2.0,0.0,0.0,312.0,False
2008|Jan-Jun 2008|Osun|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Osun,Osun,Domestic,Dogs,Animal,350.0,3.0,3.0,0.0,0.0,,False
2008|Jan-Jun 2008|Taraba|Rabies|,2008,Jan-Jun 2008,Rabies,,state,Taraba,Taraba,Domestic,Dogs,Animal,,4.0,1.0,0.0,4.0,,False
2008|Jul-Dec 2008|Bauchi|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Bauchi,Bauchi,Domestic,Cattle,Animal,4.0,2.0,0.0,0.0,2.0,,False
2008|Jul-Dec 2008|Bauchi|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Bauchi,Bauchi,Domestic,Dogs,Animal,,34.0,0.0,0.0,34.0,,False
2008|Jul-Dec 2008|Ekiti|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Ekiti,Ekiti,Domestic,Dogs,Animal,50.0,1.0,0.0,0.0,1.0,,False
2008|Jul-Dec 2008|Gombe|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Gombe,Gombe,Domestic,Birds,Animal,1.0,1.0,0.0,0.0,0.0,0.0,False
2008|Jul-Dec 2008|Gombe|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Gombe,Gombe,Domestic,Dogs,Animal,,10.0,0.0,0.0,10.0,,False
2008|Jul-Dec 2008|Kaduna|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Kaduna,Kaduna,Domestic,Dogs,Animal,1.0,1.0,0.0,0.0,1.0,,False
2008|Jul-Dec 2008|Kano|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Kano,Kano,Domestic,Birds,Animal,4253.0,1514.0,2739.0,0.0,1514.0,,False
2008|Jul-Dec 2008|Kano|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Kano,Kano,Domestic,Dogs,Animal,,3.0,2.0,0.0,1.0,,False
2008|Jul-Dec 2008|Katsina|HPAI|H5N1,2008,Jul-Dec 2008,HPAI,H5N1,state,Katsina,Katsina,Domestic,Birds,Animal,110.0,31.0,79.0,0.0,31.0,,False
2008|Jul-Dec 2008|Osun|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Osun,Osun,Domestic,Dogs,Animal,25.0,1.0,0.0,0.0,1.0,,False
2008|Jul-Dec 2008|Plateau|Rabies|,2008,Jul-Dec 2008,Rabies,,state,Plateau,Plateau,Domestic,Dogs,Animal,,1.0,0.0,0.0,1.0,,False
