Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Event_id,Species,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2006,Jan-Jun 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,44516,Animal,12475,31903,0,11212,0
2006,Jan-Jun 2006,Africa,Nigeria,"Plateau","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Wild,-,"Wildlife (species unspecified)",-,-,1,Animal,1,0,0,1,0
2006,Jan-Jun 2006,Africa,Nigeria,"Rivers","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Rivers","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,1200,Animal,-,-,-,700,0
2006,Jan-Jun 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Taraba","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,81,Animal,-,45,0,36,0
2006,Jan-Jun 2006,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jan-Jun 2006,Africa,Nigeria,"Yobe","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,6,-,-,-,0
2006,Jul-Dec 2006,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Anambra","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2680,Animal,403,2277,0,403,0
2006,Jul-Dec 2006,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Bauchi","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,2500,Animal,2000,1554,0,946,0
2006,Jul-Dec 2006,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,2,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Borno","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,500,Animal,300,249,0,251,0
2006,Jul-Dec 2006,Africa,Nigeria,"Delta","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,1,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Delta","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,4,-,-,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Kaduna","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Domestic,-,"Birds",-,-,-,Animal,-,-,-,-,-
2006,Jul-Dec 2006,Africa,Nigeria,"Kano","High pathogenicity avian influenza viruses (Inf. with) (poultry)","H5N1",Both animal categories,-,"",-,6,-,-,-,-,-,-,-
