,n_dash,pct_dash,n_zero,n_positive
New outbreaks,0,0.0,0,524
Susceptible,524,100.0,0,0
Cases,524,100.0,0,0
Killed and disposed of,524,100.0,0,0
Slaughtered,524,100.0,0,0
Deaths,524,100.0,0,0
Vaccinated,524,100.0,0,0
